licence_valid,licence_num,licence_debut,licence_fin,licence_type,licence_quit,licence_montant,licence_zone,licence_debarq,licence_moteur,licence_puis,licence_engin,licence_copé,id_pirogue,id,Code2,licence_date,licence_res,Pech_date_saisie,Lic_val
2011,721,3/1/11,12/31/11,Gros poissons,715480,150000,,Akournam,Mariner,8,Filet maillant de fond,,502,506,0,,FALSE,,FALSE
2011,719,3/2/11,12/31/11,Mulets,637302,100000,,Bambouchine,Yamaha,15,Filet sardine,,503,507,0,,FALSE,,FALSE
2011,715,3/1/11,12/31/11,Sardines,715395,150000,,Bac Aviation,Yamaha,40,Filet sardine,,504,508,0,,FALSE,,FALSE
2011,745,3/14/11,12/31/11,Gros poissons,716956,100000,,Bac Aviation,Yamaha,40,Filet maillant de fond,,267,509,0,,FALSE,,FALSE
2011,735,3/14/11,12/31/11,Sardines,716869,150000,Estuaire-Komo,Bac Aviation,Yamaha,40,Filet sardine,,505,510,0,,FALSE,,FALSE
2011,731,3/11/11,12/31/11,Sardines,716704,100000,Estuaire-Komo,Bac Aviation,Yamaha,40,Filet sardine,,506,511,0,,FALSE,,FALSE
2011,716,3/1/11,12/31/11,Gros poissons,715398,150000,,Bac Aviation,Yamaha,40,Filet maillant de fond,,507,512,0,,FALSE,,FALSE
2011,725,3/3/11,12/31/11,Gros poissons,715709,150000,,Ambowè,Yamaha,40,Filet maillant de fond,,508,513,0,,FALSE,,FALSE
2011,750,3/21/11,12/31/11,Gros poissons,717623,150000,Estuaire-Komo,Ambowè,Mariner,40,Filet maillant de fond,,363,514,0,,FALSE,,FALSE
2011,714,2/28/11,12/31/11,Gros poissons,715226,150000,,Alenakiri,Mariner,40,Filet maillant de fond,,509,515,0,,FALSE,,FALSE
2011,723,2/28/11,12/31/11,Gros poissons,715219,150000,Estuaire-Komo,Alenakiri,Yamaha,40,Filet maillant de fond,,510,516,0,,FALSE,,FALSE
2011,727,3/7/11,12/31/11,Gros poissons,716140,100000,,Alenakiri,Yamaha,15,Filet maillant de fond,,377,517,0,,FALSE,,FALSE
2011,732,3/11/11,12/31/11,Gros poissons,716706,100000,,Alenakiri,Yamaha,40,Filet maillant de fond,,511,518,0,,FALSE,,FALSE
2011,734,3/14/11,12/31/11,Gros poissons,716832,100000,,Alenakiri,Yamaha,15,Filet maillant de fond,,512,519,0,,FALSE,,FALSE
2011,736,3/14/11,12/31/11,Gros poissons,716847,150000,,Alenakiri,Yamaha,4,Filet maillant de fond,,513,520,0,,FALSE,,FALSE
2011,737,3/14/11,12/31/11,Gros poissons,716849,150000,,Alenakiri,Yamaha,4,Filet maillant de fond,,514,521,0,,FALSE,,FALSE
2011,739,3/14/11,12/31/11,Gros poissons,716839,150000,,Alenakiri,Yamaha,40,Filet maillant de fond,,515,522,0,,FALSE,,FALSE
2011,743,3/15/11,12/31/11,Gros poissons,717029,150000,,BTI,Yamaha,40,Filet maillant de fond,,516,523,0,,FALSE,,FALSE
2011,701,1/11/11,12/31/11,Gros poissons,708165,30000,,Barracuda,Yamaha,15,Filet maillant de fond,,517,524,0,,FALSE,,FALSE
2011,720,3/2/11,12/31/11,Gros poissons,715541,100000,Estuaire-Komo,Barracuda,Mariner,40,Filet maillant de fond,,518,525,0,,FALSE,,FALSE
2011,722,3/2/11,12/31/11,Gros poissons,715529,150000,Estuaire-Komo,Barracuda,Yamaha,40,Filet maillant de fond,,519,526,0,,FALSE,,FALSE
2011,730,3/8/11,12/31/11,Gros poissons,716328,100000,Estuaire-Komo,Barracuda,Yamaha,40,Filet maillant de fond,,520,527,0,,FALSE,,FALSE
2011,738,3/14/11,12/31/11,Gros poissons,716841,100000,,Barracuda,Yamaha,40,Filet maillant de fond,,521,528,0,,FALSE,,FALSE
2011,740,3/14/11,12/31/11,Gros poissons,716859,150000,,Barracuda,Yamaha,15,Filet maillant de fond,,522,529,0,,FALSE,,FALSE
2011,741,3/14/11,12/31/11,Gros poissons,716857,150000,,Barracuda,Yamaha,40,Filet maillant de fond,,523,530,0,,FALSE,,FALSE
2011,711,2/15/11,12/31/11,Gros poissons,712143,100000,,Barracuda,Yamaha,40,Filet maillant de fond,,524,531,0,,FALSE,,FALSE
2011,747,3/16/11,12/31/11,Gros poissons,717184,100000,,Barracuda,Yamaha,40,Filet maillant de fond,,525,532,0,,FALSE,,FALSE
2011,717,1/14/11,12/31/11,Gros poissons,715383,150000,,Lalala,Yamaha,40,Filet maillant de fond,,526,533,0,,FALSE,,FALSE
2011,718,1/14/11,12/31/11,Mulets,715384,150000,,Lalala,Mariner,25,Filet sardine,,312,534,0,,FALSE,,FALSE
2011,709,1/31/11,12/31/11,Gros poissons,709413,100000,,Oloumi,Yamaha,40,Filet maillant de fond,,527,535,0,,FALSE,,FALSE
2011,724,2/11/11,12/31/11,Gros poissons,715751,100000,,Barracuda,Yamaha,40,Filet maillant de fond,,528,536,0,,FALSE,,FALSE
2011,703,1/18/11,12/31/11,Sardines,717702,200000,Estuaire-Komo,Pont Nomba,Mariner,40,Filet sardine (Tiré-tiré),,529,537,0,,FALSE,,FALSE
2011,706,1/25/11,12/31/11,Gros poissons,709228,150000,,Pont Nomba,Mariner,40,Filet maillant de fond,,530,538,0,,FALSE,,FALSE
2011,707,1/25/11,12/31/11,Gros poissons,709235,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant de fond,,376,539,0,,FALSE,,FALSE
2011,708,1/28/11,12/31/11,Gros poissons,624184,100000,,Pont Nomba,Yamaha,40,Filet maillant de fond,,531,540,0,,FALSE,,FALSE
2011,710,1/31/11,12/31/11,Gros poissons,709630,150000,,Pont Nomba,Yamaha,40,Filet maillant de fond,,532,542,0,,FALSE,,FALSE
2011,726,3/7/11,12/31/11,Gros poissons,716038,100000,,Pont Nomba,Yamaha,15,Filet maillant de fond,,533,543,0,,FALSE,,FALSE
2011,729,3/9/11,12/31/11,Gros poissons,716449,100000,,Pont Nomba,Yamaha,40,Filet maillant de fond,,534,544,0,,FALSE,,FALSE
2011,742,3/14/11,12/31/11,Gros poissons,717067,100000,,Pont Nomba,Yamaha,40,Filet maillant de fond,,535,545,0,,FALSE,,FALSE
2011,744,3/15/11,12/31/11,Gros poissons,716999,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant de fond,,536,546,0,,FALSE,,FALSE
2011,749,3/17/11,12/31/11,Sardines,717300,200000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet sardine (Tiré-tiré),,537,547,0,,FALSE,,FALSE
2011,704,1/19/11,12/31/11,Gros poissons,708765,30000,,Razel,Mariner,40,Filet maillant de fond,,539,548,0,,FALSE,,FALSE
2011,728,3/8/11,12/31/11,Gros poissons,716228,150000,,Razel,Yamaha,40,Filet maillant de fond,,499,549,0,,FALSE,,FALSE
2011,702,1/14/11,12/31/11,Gros poissons,708544,60000,Estuaire-Komo,Soduco,Yamaha,40,Filet maillant de fond,,540,550,0,,FALSE,,FALSE
2011,712,2/17/11,12/31/11,Gros poissons,632868,100000,Estuaire-Komo,Soduco,Yamaha,40,Filet maillant de fond,,541,551,0,,FALSE,,FALSE
2011,713,2/14/11,12/31/11,Gros poissons,714148,150000,,Soduco,Yamaha,40,Filet maillant de fond,,409,552,0,,FALSE,,FALSE
2011,733,3/11/11,12/31/11,Gros poissons,716700,150000,Estuaire-Komo,Soduco,Mariner,40,Filet maillant de fond,,542,553,0,,FALSE,,FALSE
2011,748,3/17/11,12/31/11,Gros poissons,717296,100000,,Soduco,Yamaha,40,Filet maillant de fond,,385,554,0,,FALSE,,FALSE
2011,751,3/21/11,12/31/11,Gros poissons,717617,150000,,Bac Aviation,Yamaha,40,Filet maillant de fond,,543,555,0,,FALSE,,FALSE
2011,752,3/21/11,12/31/11,Gros poissons,717588,150000,,Ambowè,Yamaha,40,Filet maillant de fond,,544,556,0,,FALSE,,FALSE
2011,753,3/21/11,12/31/11,Gros poissons,717585,150000,,Ambowè,Yamaha,40,Filet maillant de fond,,482,557,0,,FALSE,,FALSE
2011,754,3/21/11,12/31/11,Sardines,717683,200000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet sardine (Tiré-tiré),,545,558,0,,FALSE,,FALSE
2011,755,3/22/11,12/31/11,Sardines,717739,200000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet sardine (Tiré-tiré),,342,559,0,,FALSE,,FALSE
2011,756,3/22/11,12/31/11,Gros poissons,717755,150000,Estuaire-Komo,Alenakiri,Yamaha,15,Filet maillant de fond,,546,560,0,,FALSE,,FALSE
2011,757,2/28/11,12/31/11,Sardines,717863,200000,Estuaire-Komo,BTI,Yamaha,40,Filet sardine (Tiré-tiré),,316,561,0,,FALSE,,FALSE
2011,758,3/23/11,12/31/11,Gros poissons,717874,150000,,Akiliba,Yamaha,40,Filet maillant de fond,,497,562,0,,FALSE,,FALSE
2011,759,3/23/11,12/31/11,Gros poissons,717876,150000,,Akiliba,Yamaha,40,Filet maillant de fond,,547,563,0,,FALSE,,FALSE
2011,760,3/23/11,12/31/11,Gros poissons,717795,150000,Estuaire-Komo,Barracuda,Yamaha,15,Filet maillant de fond,,548,564,0,,FALSE,,FALSE
2011,761,3/28/11,12/31/11,Gros poissons,644613,150000,,Oloumi,Yamaha,40,Filet maillant de fond,,354,565,0,,FALSE,,FALSE
2011,762,3/28/11,12/31/11,Petits poissons,644716,150000,,Akiliba,Yamaha,40,Filet maillant surface,,299,566,0,,FALSE,,FALSE
2011,763,3/28/11,12/31/11,Sardines,665788,200000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet sardine (Tiré-tiré),,172,567,0,,FALSE,,FALSE
2011,764,3/28/11,12/31/11,Gros poissons,665787,150000,,Pont Nomba,Mariner,40,Filet maillant de fond,,171,568,0,,FALSE,,FALSE
2011,765,3/28/11,12/31/11,Gros poissons,665786,150000,,Pont Nomba,Mariner,40,Filet maillant de fond,,173,569,0,,FALSE,,FALSE
2011,766,3/29/11,12/31/11,Gros poissons,718255,150000,,Bac Aviation,Yamaha,40,Filet maillant de fond,,332,570,0,,FALSE,,FALSE
2011,767,3/29/11,12/31/11,Gros poissons,645222,150000,,Ambowè,Yamaha,40,Filet maillant de fond,,217,571,0,,FALSE,,FALSE
2011,768,3/29/11,12/31/11,Sardines,673258,200000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet sardine (Tiré-tiré),,258,572,0,,FALSE,,FALSE
2011,769,3/29/11,12/31/11,Gros poissons,645194,150000,,Akiliba,Yamaha,40,Filet maillant surface,,549,573,0,,FALSE,,FALSE
2011,770,3/29/11,12/31/11,Gros poissons,718323,100000,,Pont Nomba,Yamaha,40,Filet maillant de fond,,550,574,0,,FALSE,,FALSE
2011,771,3/30/11,12/31/11,Sardines,718429,200000,Estuaire-Komo,Pont Nomba,Mariner,40,Filet sardine (Tiré-tiré),,551,575,0,,FALSE,,FALSE
2011,772,3/29/11,12/31/11,Gros poissons,718418,150000,,Michel Marine,Yamaha,40,Palangre de fond,,552,576,0,,FALSE,,FALSE
2011,773,3/29/11,12/31/11,Gros poissons,718427,100000,,Michel Marine,Mariner,40,Filet maillant de fond,,553,577,0,,FALSE,,FALSE
2011,774,1/18/11,12/31/11,Petits poissons,718505,150000,,Bac Aviation,Yamaha,40,Filet maillant surface,,554,578,0,,FALSE,,FALSE
2011,775,1/19/11,12/31/11,Gros poissons,719016,150000,,Pont Nomba,Yamaha,40,Filet maillant de fond,,493,579,0,,FALSE,,FALSE
2011,776,3/30/11,12/31/11,Gros poissons,719034,150000,,Pont Nomba,Yamaha,40,Filet maillant de fond,,204,580,0,,FALSE,,FALSE
2011,777,3/29/11,12/31/11,Gros poissons,718979,100000,Estuaire-Komo,Alenakiri,Yamaha,8,Filet maillant de fond,,555,581,0,,FALSE,,FALSE
2011,778,3/29/11,12/31/11,Gros poissons,718976,100000,,Alenakiri,Yamaha,4,Filet maillant de fond,,556,582,0,,FALSE,,FALSE
2011,779,4/4/11,12/31/11,Gros poissons,718966,150000,,Barracuda,Yamaha,15,Filet maillant de fond,,557,583,0,,FALSE,,FALSE
2011,780,4/4/11,12/31/11,Gros poissons,718970,150000,,Pont Nomba,Yamaha,40,Filet maillant de fond,,558,584,0,,FALSE,,FALSE
2011,781,4/4/11,12/31/11,Sardines,718964,200000,Estuaire-Komo,Pont Nomba,Mariner,40,Filet sardine (Tiré-tiré),,559,585,0,,FALSE,,FALSE
2011,782,4/4/11,12/31/11,Sardines,718968,200000,Estuaire-Komo,Pont Nomba,Mariner,40,Filet sardine (Tiré-tiré),,560,586,0,,FALSE,,FALSE
2011,783,4/4/11,12/31/11,Gros poissons,719037,150000,,Pont Nomba,Yamaha,40,Filet maillant de fond,,350,587,0,,FALSE,,FALSE
2011,784,4/6/11,12/31/11,Gros poissons,719393,100000,,Michel Marine,Yamaha,40,Filet maillant de fond,,208,588,0,,FALSE,,FALSE
2011,785,4/6/11,12/31/11,Gros poissons,719390,100000,,Michel Marine,Yamaha,40,Filet maillant de fond,,561,589,0,,FALSE,,FALSE
2011,786,4/11/11,12/31/11,Gros poissons,720057,150000,Estuaire-Komo,Barracuda,Yamaha,15,Filet maillant de fond,,562,590,0,,FALSE,,FALSE
2011,787,4/11/11,12/31/11,Gros poissons,720060,150000,,Pont Nomba,Yamaha,40,Filet maillant de fond,,563,591,0,,FALSE,,FALSE
2011,788,4/11/11,12/31/11,Gros poissons,665912,150000,,Pont Nomba,Yamaha,40,Filet maillant de fond,,170,592,0,,FALSE,,FALSE
2011,789,,12/31/11,Gros poissons,719925,100000,,Jeanne Ebori,Yamaha,40,Palangre de fond,,280,593,0,,FALSE,,FALSE
2011,790,,12/31/11,Sardines,720066,150000,Estuaire-Komo,BTI,Yamaha,40,Filet sardine,,564,594,0,,FALSE,,FALSE
2011,791,4/11/11,12/31/11,Sardines,720063,150000,,Grande Poubelle,Yamaha,40,Filet sardine,,451,595,0,,FALSE,,FALSE
2011,792,4/11/11,12/31/11,Sardines,720065,150000,Estuaire-Komo,BTI,Yamaha,40,Filet sardine,,565,596,0,,FALSE,,FALSE
2011,793,4/12/11,12/31/11,Sardines,720229,100000,,Bac Aviation,Yamaha,40,Filet sardine,,566,597,0,,FALSE,,FALSE
2011,794,4/12/11,12/31/11,Sardines,720230,100000,,Grande Poubelle,Yamaha,40,Filet sardine,,567,598,0,,FALSE,,FALSE
2011,795,4/12/11,12/31/11,Sardines,720233,150000,,Grande Poubelle,Yamaha,40,Filet sardine,,445,599,0,,FALSE,,FALSE
2011,796,4/11/11,12/31/11,Sardines,720235,100000,Estuaire-Komo,Grande Poubelle,Yamaha,40,Filet sardine,,568,600,0,,FALSE,,FALSE
2011,797,4/11/11,12/31/11,Sardines,720236,100000,Estuaire-Komo,Grande Poubelle,Yamaha,40,Filet sardine,,569,601,0,,FALSE,,FALSE
2011,798,4/11/11,12/31/11,Sardines,720238,100000,Estuaire-Komo,Grande Poubelle,Yamaha,40,Filet sardine,,570,602,0,,FALSE,,FALSE
2011,799,4/12/11,12/31/11,Sardines,720231,150000,Estuaire-Komo,Grande Poubelle,Yamaha,40,Filet sardine,,571,603,0,,FALSE,,FALSE
2011,801,1/13/11,12/31/11,Mulets,708354,150000,Estuaire-Komo,Lalala,Yamaha,25,Filet sardine,,492,604,0,,FALSE,,FALSE
2011,802,1/13/11,12/31/11,Sardines,708355,200000,Estuaire-Komo,Lalala,Yamaha,40,Filet sardine (Tiré-tiré),,572,605,0,,FALSE,,FALSE
2011,803,5/13/11,12/31/11,Mulets,722500,150000,Estuaire-Komo,Lalala,Yamaha,25,Filet sardine,,263,606,0,,FALSE,,FALSE
2011,820,1/14/11,12/31/11,Mulets,716207,150000,Estuaire-Komo,Lalala,Yamaha,25,Filet sardine,,573,607,0,,FALSE,,FALSE
2011,804,1/17/11,12/31/11,Mulets,708510,150000,Estuaire-Komo,Lalala,Yamaha,25,Filet sardine,,378,608,0,,FALSE,,FALSE
2011,805,1/17/11,12/31/11,Mulets,708413,150000,Estuaire-Komo,Lalala,Yamaha,25,Filet sardine,,574,609,0,,FALSE,,FALSE
2011,806,1/18/11,12/31/11,Mulets,708606,60000,Estuaire-Komo,Lalala,Yamaha,25,Filet sardine,,235,610,0,,FALSE,,FALSE
2011,807,1/18/11,12/31/11,Petits poissons,708602,60000,Estuaire-Komo,Bac Aviation,Yamaha,40,Filet maillant surface,,575,611,0,,FALSE,,FALSE
2011,809,1/18/11,12/31/11,Sardines,708610,60000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet sardine,,576,612,0,,FALSE,,FALSE
2011,811,1/19/11,12/31/11,Mulets,708726,150000,Estuaire-Komo,Lalala,Yamaha,25,Filet sardine,,577,614,0,,FALSE,,FALSE
2011,808,1/17/11,12/31/11,Sardines,708583,60000,Estuaire-Komo,Soduco,Yamaha,40,Filet sardine,,266,615,0,,FALSE,,FALSE
2011,837,4/4/11,12/31/11,Petits poissons,719006,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,578,616,0,,FALSE,,FALSE
2011,838,4/5/11,12/31/11,Petits poissons,719162,100000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,366,617,0,,FALSE,,FALSE
2011,839,4/5/11,12/31/11,Sardines,719241,200000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet sardine (Tiré-tiré),,325,618,0,,FALSE,,FALSE
2011,840,4/5/11,12/31/11,Gros poissons,719244,100000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant de fond,,579,619,0,,FALSE,,FALSE
2011,841,4/5/11,12/31/11,Petits poissons,719268,150000,,Pont Nomba,Yamaha,40,Filet maillant surface,,580,620,0,,FALSE,,FALSE
2011,842,4/5/11,12/31/11,Petits poissons,719262,100000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,581,621,0,,FALSE,,FALSE
2011,843,4/6/11,12/31/11,Sardines,719457,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet sardine,,582,622,0,,FALSE,,FALSE
2011,844,4/7/11,12/31/11,Sardines,719657,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet sardine,,583,623,0,,FALSE,,FALSE
2011,845,4/7/11,12/31/11,Petits poissons,719658,100000,Estuaire-Komo,Pont Nomba,Mariner,40,Filet maillant surface,,584,624,0,,FALSE,,FALSE
2011,846,4/7/11,12/31/11,Gros poissons,719676,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant de fond,,585,625,0,,FALSE,,FALSE
2011,847,4/7/11,12/31/11,Gros poissons,719682,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant de fond,,586,626,0,,FALSE,,FALSE
2011,848,4/8/11,12/31/11,Sardines,719764,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet sardine,,165,627,0,,FALSE,,FALSE
2011,849,4/8/11,12/31/11,Sardines,719766,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet sardine,,166,628,0,,FALSE,,FALSE
2011,850,4/8/11,12/31/11,Gros poissons,719846,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant de fond,,587,629,0,,FALSE,,FALSE
2011,812,1/20/11,12/31/11,Petits poissons,709604,100000,Estuaire-Komo,Pont Nomba,Mariner,40,Filet maillant surface,,588,630,0,,FALSE,,FALSE
2011,813,2/13/11,12/31/11,Gros poissons,712145,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant de fond,,589,631,0,,FALSE,,FALSE
2011,814,2/15/11,12/31/11,Gros poissons,712212,150000,Estuaire-Komo,Ambowè,Yamaha,40,Filet maillant de fond,,341,632,0,,FALSE,,FALSE
2011,815,2/21/11,12/31/11,Gros poissons,714135,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant de fond,,590,633,0,,FALSE,,FALSE
2011,816,2/21/11,12/31/11,Gros poissons,714212,150000,Estuaire-Komo,Pont Nomba,Mariner,40,Filet maillant de fond,,242,634,0,,FALSE,,FALSE
2011,817,3/4/11,12/31/11,Petits poissons,715744,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,450,635,0,,FALSE,,FALSE
2011,818,3/7/11,12/31/11,Petits poissons,715745,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,440,636,0,,FALSE,,FALSE
2011,819,4/4/11,12/31/11,Petits poissons,715747,100000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,591,637,0,,FALSE,,FALSE
2011,821,3/7/11,12/31/11,Petits poissons,716260,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,592,638,0,,FALSE,,FALSE
2011,822,3/4/11,12/31/11,Sardines,716262,100000,Estuaire-Komo,Pont Nomba,Mariner,40,Filet sardine,,196,639,0,,FALSE,,FALSE
2011,824,3/14/11,12/31/11,Gros poissons,716827,100000,Estuaire-Komo,Ambowè,Yamaha,40,Filet maillant de fond,,417,640,0,,FALSE,,FALSE
2011,825,3/16/11,12/31/11,Petits poissons,717169,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,593,641,0,,FALSE,,FALSE
2011,826,3/16/11,12/31/11,Petits poissons,717177,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,355,642,0,,FALSE,,FALSE
2011,827,3/16/11,12/31/11,Petits poissons,717333,100000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,594,643,0,,FALSE,,FALSE
2011,828,3/17/11,12/31/11,Petits poissons,717335,100000,Estuaire-Komo,Pont Nomba,Mariner,40,Filet sardine (Tiré-tiré),,595,644,0,,FALSE,,FALSE
2011,829,3/18/11,12/31/11,Gros poissons,717416,100000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant de fond,,596,645,0,,FALSE,,FALSE
2011,830,3/22/11,12/31/11,Petits poissons,717710,100000,Estuaire-Komo,Pont Nomba,Mariner,40,Filet maillant surface,,386,646,0,,FALSE,,FALSE
2011,831,3/22/11,12/31/11,Petits poissons,717711,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,282,647,0,,FALSE,,FALSE
2011,832,3/23/11,12/31/11,Petits poissons,718035,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,597,648,0,,FALSE,,FALSE
2011,834,3/28/11,12/31/11,Sardines,718395,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet sardine,,438,650,0,,FALSE,,FALSE
2011,835,3/28/11,12/31/11,Sardines,718397,100000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet sardine,,599,651,0,,FALSE,,FALSE
2011,836,3/31/11,12/31/11,Sardines,718643,200000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet sardine (Tiré-tiré),,601,653,0,,FALSE,,FALSE
