Nom Pirogue	Immatriculation	Type de pirogue
	PG. 775/00	bois
	PG. 371/13	bois
	PG. 038/07	bois
Prudence 2	OMB. 140/14	plastique
	PG. 914/04	plastique
Amelda   1	PG. 479/14	plastique
	PG. 122/08	bois
	PG. 024/06	bois
	PG. 490/14	bois
	PG. 771/00	bois
	PG. 302/11	bois
	PG. 173/09	bois
	PG. 251/11	bois
Source De Vie	PG. 530/15	bois
	PG. 283/93	bois
Napoleon	OW. 300/10	bois
	PG. 088/08	bois
	PG. 229/11	plastique
Tout Reste	PG. 192/92	plastique
	PG. 341/12	bois
	PG. 348/13	bois
	PG. 453/14	bois
	PG. 128/09	bois
	PG. 124/92	bois
	PG. 159/09	bois
	PG. 580/16	bois
	PG. 351/13	bois
	PG. 177/09	bois
	PG. 356/13	bois
	PG. 633/99	bois
	PG. 192/10	bois
	PG. 301/11	bois
	PG. 427/13	bois
Allons De L'Autre Bord Dieu Merci	PG. 516/15	plastique
	PG. 182/10	bois
	PG. 013/91	bois
Atongo Wanga	PG. 112/08	bois
	PG. 357/13	bois
	PG. 008/91	bois
	PG. 124/08	bois
	PG. 429/13	bois
	PG. 756/00	bois
	PG. 778/01	plastique
	PG. 588/98	bois
	PG. 233/04	plastique
	PG. 135/09	bois
	PG. 111/92	bois
Aloumbe	PG. 498/15	bois
Oila	PG. 917/04	bois
	PG. 055/07	bois
	PG. 018/91	bois
	PG. 132/09	bois
	PG. 944/04	bois
	PG. 338/12	bois
	PG. 031/91	bois
	PG. 574/16	plastique
	PG. 029/06	bois
	PG. 853/02	bois
	PG. 642/99	bois
	PG. 653/99	bois
	PG. 911/04	bois
	PG. 419/95	bois
	PG. 919/04	bois
Naguy	PG. 097/93	bois
	PG. 806/01	bois
	PG. 076/07	bois
	PG. 655/99	bois
	PG. 305/12	bois
	PG. 802/01	bois
	PG. 145/09	bois
	PG. 352/13	bois
Sedowe	PG. 508/15	bois
Tamara Emonon Emi	PG. 119/08	bois
	PG. 046/07	bois
Ozombe 2	PG. 531/97	plastique
Mina	PG. 721/00	plastique
Patricia	PG. 359/13	plastique
Akewa	PG. 492/15	bois
	PG. 678/04	plastique
	PG. 157/92	bois
	PG. 457/96	bois
Trinity Force	PG. 234/11	bois
	PG. 670/99	bois
Innocent	PG. 526/15	bois
Akapko Comlanvi	OMB. 156/15	bois
	PG. 886/03	bois
Ablavi	PG. 419/13	plastique
	PG. 650/99	bois
	PG. 345/12	bois
Vangani Aniambie	PG. 537/97	plastique
	PG. 461/14	bois
	PG. 392/13	bois
Randy 2	PG. 203/10	plastique
Owanga Village	PG. 308/12	plastique
Guimanga Express	PG. 474/14	plastique
	PG. 505/15	bois
	PG. 493/15	bois
	PG. 123/08	bois
	PG. 340/12	plastique
	PG. 448/14	plastique
	PG. 474/96	bois
Psaume 23 N°3	PG. 728/00	bois
Psaume 23 N°2	PG. 727/00	bois
	PG. 668/12	plastique
Shalom Sion	PG. 440/95	plastique
Prudence 3	OMB. 149/15	plastique
Afalinkeni	L. 139/96	plastique
	PG. 353/13	bois
	PG. 469/14	bois
	PG. 488/14	bois
"La Patience ""Dieu Est Grand"""	OMB. 066/13	plastique
Sainte Cecile	PG. 937/04	plastique
Baleine Blanc	PG. 363/95	bois
Monezang	PG. 507/15	plastique
	PG. 229/09	plastique
	PG. 104/92	bois
	OMB. 109/13	bois
	PG. 342/12	bois
	PG. 223/11	bois
	PG. 439/14	bois
	PG. 183/10	bois
Eliwa Bendje	PG. 3621	plastique
	PG. 306/12	bois
	PG. 362/13	plastique
Comba	PG. 420/13	plastique
	PG. 084/08	bois
	PG. 536/15	bois
	PG. 378/98	bois
	PG. 362/13	bois
Le Temps De Dieu Est Meilleur	PG. 532/15	plastique
	PG. 942/04	bois
	PG. 537/15	bois
La Victorine	PG. 201/10	plastique
La Famille Africaine	PG. 343/94	plastique
Dzakadza	PG. 119/92	bois
Emergence	OW. 335/10	plastique
Almat	OW. 034E	plastique
Le Loango	OW. 010/14	plastique
Issindina	OMB. 088 A	plastique
Ozavino	OMB. 070/13	plastique
Barrakuda	PG. 700/99	plastique
	PG. 054/07	bois
Odembet Express	PG. 904/03	plastique
Odembet-Village 4	PG. 478/96	plastique
	PG. 093/08	bois
	PG. 179/09	bois
Fear Tommorow	PG. 828/02	plastique
	PG. 918/04	plastique
	PG. 426/13	bois
	PG. 887/03	bois
	PG. 647/99	bois
	PG. 364/13	bois
	PG. 363/13	bois
	PG. 422/13	bois
Grace A Dieu	PG. 988/06	bois
	PG. 032/91	bois
	PG. 299/11	bois
	PG. 347/13	bois
	PG. 120/92	bois
	OMB. 021/13	bois
	PG. 431/13	bois
	PG. 840/02	bois
	PG. 370/13	bois
	PG. 535/15	bois
	PG. 053/07	bois
	PG. 494/15	bois
	PG. 218/10	bois
	PG. 710/00	bois
	PG. 242/93	bois
	PG. 648/99	bois
Iguendja	PG. 430/13	bois
	PG. 012/91	bois
	PG. 752/00	bois
	PG. 208/10	bois
	PG. 382/13	plastique
Marcus Hernandez	PG. 517/15	plastique
	PG. 654/99	bois
	PG. 036/07	bois
	PG. 497/15	bois
	PG. 344/12	bois
	PG. 349/13	bois
	PG. 912/04	plastique
	PG. 512/15	plastique
David	PG. 523/15	plastique
Ngonde	PG. 522/15	plastique
	PG. 355/13	bois
Marc Gregory	PG. 449/14	plastique
Abel	PG. 395/13	plastique
Orowa Sitanguino	PG. 543/16	plastique
Orowa Sitanguino	PG. 570/16	plastique
Mibout	OMB. 142/15	plastique
Dieu Est Grand	OMB. 150/15	plastique
Beaute Divine	LA. 683/11	bois
Yassalanou	PG. 232/93	bois
Bekale 28	OW. 016/07	plastique
	PG. 312/12	bois
	PG. 350/13	bois
	PG. 403/13	bois
Je Marche Avec Espoir	PG. 510/15	bois
Karako (There Is A Time For Everything)	PG. 774/00	bois
	PG. 423/13	bois
Ornella 1	OW. 104/15	bois
La Foi En Christ	LA. 098 A	plastique
	PG. 548/16	plastique
	PG. 346/12	plastique
Si je savais	L. 044/06	bois
	PG. 489/14	
	PG. 428/13	bois
L'avenir	PG. 309/12	bois
Dodo	PG. 757/02	bois
Alicia	PG. 224/11	plastique
Claude Benoit	PG. 478/14	plastique
	PG. 541/16	bois
Nicolas 2	OMB. 004/13	plastique
Mouedy 2	OW. 314/12	plastique
	PG. 365/13	bois
Tanguy	PG. 225/11	plastique
	PG. 545/16	bois
Diane Neumouton	PG. 669 A	plastique
	PG. 443/14	plastique
	PG. 126/08	bois
	PG. 231/10	bois
	PG. 106/92	bois
	PG. 358/13	bois
Henry Joseph	PG. 069/07	plastique
	PG. 901/03	bois
Motema Go Ngongo	PG. 3325	
New Man	PG. 614/99	plastique
Vicky 2	PG. 307/12	plastique
Saguronde	PG. 313/12	plastique
	PG. 216/10	plastique
Ikengue Monda	PG. 071/07	plastique
Gros canard	L. 255/15	plastique
Avenogo Tsugu	OMB. 055/00	bois
La foi  	LA. 680/11	plastique
Issinga Village	PG. 364/12	plastique
Sambio	PG. 105/16	plastique
Nathalie	PG. 217/93	plastique
Randet	PG. 672/99	plastique
	PG. 450/96	plastique
	OMB. 116/13	bois
	PG. 544/16	bois
	PG. 137/09	plastique
Michel	PG. 209/10	bois
L'oiseau	OMB. 051/14	plastique
Petrolier 2	PG. 905/03	bois
Petrolier  	PG. 973/05	bois
	PG. 535/97	bois
Vierge Marie	PG. 999/06	plastique
	PG. 152/09	bois
Tabernacle	PG. 397/13	plastique
	PG. 361/13	plastique
Essindina s'orema	OMB. 032/14	plastique
Cyr-One	PG. 941/15	plastique
	PG. 417/13	plastique
Gnangue peche n°4	OMB. 069/03	plastique
Niangue peche	OMB. 084/10	plastique
	L. 054/01	plastique
Canard plus (2)	PG. 044/07	plastique
	PG. 193/10	plastique
Evongue	PG. 562/16	plastique
Papa Ayi	PG. 470/14	plastique
Charlotte	PG. 143/15	plastique
	OMB. 147/15	plastique
	PG. 565/16	bois
	PG. 425/13	bois
	PG. 984/06	bois
La Dola	PG. 446/14	bois
	PG. 310/12	bois
Roch Nette	PG. 155/09	bois
Ambila Village	PG. 418/13	plastique
	PG. 106/16 	bois
	PG. 377/13	bois
J.B Pêche	PG. 568/16	plastique
Opema	PG. 457/14	plastique
	PG. 503/15	plastique
l'Œil 	PG. 569/16	plastique
	PG. 571/16	bois
	PG. 572/16	bois
	OW. 212/12	plastique
	OMB. 051/14	plastique
Bibiche I	PG. 538/15	plastique
	PG. 575/16	bois
Arthur	PG. 292/11	plastique
Petit Oiseau	MYB. 158/15	plastique
Tsoni	GBA. 022A	plastique
