Acae,,,,,ACA
Akiliba,AVIATION,Estuaire,9.43528,0.45893,AKI
Akournam,PONT NOMBA,ESTUAIRE,9.51756,0.33521,AKO
Alen komo,KANGO,ESTUAIRE,9.51756,0.32694,ALK
Alenakiri,PONT NOMBA,Estuaire,9.52004,0.30183,ALE
Ambowe,AVIATION,ESTUAIRE,9.438,0.449,AMB
Bac Aviation,AVIATION,Estuaire,9.41627,0.45724,BAC
Bambouchine,AVIATION,Estuaire,9.53409,0.4288,BAM
Barracuda,PONT NOMBA,Estuaire,9.48585,0.31427,CCPO
Bikele,AVIATION,Estuaire,9.566517,0.425191,BIK
bord de mer,PORT-GENTIL,OGOOUE MARITIME,8.788594,-0.720734,LIT
BP,OMBOUE,OGOOUE MARITIME,9.072306,-1.371056,BP
BTI,PONT NOMBA,ESTUAIRE,9.47974,0.34753,BTI
Canal,PORT-GENTIL,OGOOUE MARITIME,8.790365,-0.734615,CAN
Canal Conseil Departemental de Benjo,PORT-GENTIL,,,,CDB
Canal Tobia,PORT-GENTIL,,,,CTOB
Cap Esterias,AVIATION,Estuaire,9.3271,0.61332,EST
Cap Lopez,PORT-GENTIL,OGOOUE MARITIME,8.709062,-0.621723,LOP
Capal,PONT NOMBA,ESTUAIRE,9.462904,0.364501,CAP
centre de peche,PORT-GENTIL,OGOOUE MARITIME,8.787515,-0.715207,CCPAP
Cocobeach,nationale,,9.59341,1.0042,COCO
Donguila,,,,,DON
Emone Mekak,COCOBEACH,Estuaire,9.59425,0.81609,EMO
Grand Village,PONT NOMBA,ESTUAIRE,9.4925,0.298911,GVIL
Grande Poubelle,PONT NOMBA,Estuaire,9.48301,0.34798,GPOB
Iboudgi,COCOBEACH,Estuaire,9.577012,0.869293,IBOU
Idombo,COCOBEACH,ESTUAIRE,9.55235,0.93522,IDO
Iguiri,PORT-GENTIL,OGOOUE MARITIME,8.792456,-0.752258,IGU
Irinikongo,PORT-GENTIL,OGOOUE MARITIME,8.792755,-0.742733,IRE
Jeanne Ebori,AVIATION,Estuaire,9.43289,0.40192,EBO
Lalala,PONT NOMBA,Estuaire,9.46692,0.35929,LAL
Leme,COCOBEACH,Estuaire,9.59341,1.0042,LEM
le BAC ou la station,,,,,STA
Libi,,,,,LIB
Libreville,nationale,,9.43289,0.40192,LBV
Lip 1,PORT-GENTIL,OGOOUE MARITIME,8.793083,-0.746432,LIP1
Lip 2,PORT-GENTIL,OGOOUE MARITIME,8.79308,-0.747625,LIP2
Lip 3,PORT-GENTIL,OGOOUE MARITIME,8.792598,-0.751097,LIP3
Lybe,COCOBEACH,ESTUAIRE,9.61126,0.76718,LYB
Mamboumba,AVIATION,Estuaire,9.445126,0.638151,MAB
Mangali,Gamba,NYANGA,10.66775,-3.381167,MAM
Massamboue,COCOBEACH,Estuaire,9.575236,0.997908,MASB
Massotie,COCOBEACH,Estuaire,9.63998,0.69464,MAS
Matanda 1,PORT-GENTIL,OGOOUE MARITIME,8.793241,-0.741086,MAT
Mayonami,GAMBA,OGOOUE MARITIME,10.306111,-2.968778,MAY
Mbongofala,COCOBEACH,Estuaire,9.57575,0.96784,MBO
Milembie,COCOBEACH,Estuaire,9.62307,0.66854,MIL
Michel Marine,,,,,MMA
Mongono,COCOBEACH,Estuaire,9.56958,0.89788,MON
Office,MAYUMBA,NYANGA,10.660139,-3.405417,OFF
Olende,OMBOUE,OGOOUE MARITIME,9.036083,-1.252139,OLE
Oloumi,PONT NOMBA,Estuaire,9.46112,0.36677,OLO
Ondogo,AVIATION,Estuaire,9.459232,0.452972,OND
Ongame,COCOBEACH,Estuaire,9.6531,0.6459,ONG
Ozoungue,,,,,OZG
Ozouri,PORT-GENTIL,OGOOUE MARITIME,8.874389,-1.030833,OZO
Pecherie Confiance,PONT NOMBA,Estuaire,9.48144,0.32377,PCON
Petite Poubelle,PONT NOMBA,Estuaire,9.48013,0.35392,PPOU
PK12,,,,,PK
Pointe Denis,AVIATION,Estuaire,9.36468,0.32571,PDEN
Pont Nomba,PONT NOMBA,Estuaire,9.48052,0.33864,PNOM
Port Gentil,nationale,,8.792598,-0.751097,PGEN
Rougier,,,,,ROU
Razel,PONT NOMBA,ESTUAIRE,9.481327,0.329274,RAZ
Sabliere,AVIATION,Estuaire,9.38045,0.49469,SAB
Sifrigab,,,,,SIF
Soduco,PONT NOMBA,Estuaire,9.48518,0.35493,SOD
Sogara,PORT-GENTIL,OGOOUE MARITIME,8.760061,-0.676528,SOG
Solimar,PONT NOMBA,ESTUAIRE,9.488454,0.312635,SOL
Camp boiro ,PORT-GENTIL,OGOOUE MARITIME,8.793888889,-0.7388889,CAP
