Nom ,Family,Genus,Species,FAO,Obs code,Category,IUCN status
Chirurgien chas-chas,ACANTHURIDAE,Acanthurus,monroviae,MDO,ACA/Aca.mon,,
,ACANTHURIDAE,spp,,,ACA,,
Banane de mer,ALBULIDAE,Albula,vulpes,BOF,ALB/Alb.vul,,
,ALBULIDAE,spp,,,ALB,,
Requin renard indéterminé,ALOPIIDAE,Alopias,spp,THR,REQ/Alo,,
Renard,ALOPIIDAE,Alopias,vulpinus,ALV,REQ/Alo.vul,,
,ALOPIIDAE,spp,,,REQ/Alo,,
Apogonidés ,APOGONIDAE,spp,,,APO,,
Mâchoiron géant,ARIIDAE,Arius,gigas,AUG,ARI/Ari.gig,,
Mâchoiron banderille,ARIIDAE,Arius,heudeloti,SMC,ARI/Ari.heu,,
Mâchoiron de Gambie,ARIIDAE,Arius,latiscutatus,AUR,ARI/Ari.lat,,
Mâchoiron jaune,ARIIDAE,Arius,parkeri,AWP,ARI/Ari.par,,
Mâchoiron indéterminé,ARIIDAE,spp,,AWX,ARI,crevette,
Ariomme indéterminé,ARIOMMATIDAE,spp,,DRK,ARIO,,
Etoile de mer indéterminée,ASTEROIDEA,spp,,STF,AST,,
Trompette,AULOSTOMIDAE,Aulostomus,strigosus,AGQ,AUL,,
Baliste étoilé,BALISTIDAE,Abalistes,stellatus,AJS,BAL/Aba.ste,,
Baliste royale,BALISTIDAE,Balistes,vetula,BLV,BAL/Bal.vet,,
Baliste rude,BALISTIDAE,Canthidermis,maculatus,CNT,BAL/Can.mac,,
Baliste indéterminé,BALISTIDAE,spp,,TRI,BAL,,
Baliste à tâches bleues,BALISTIDAE,Xenobalistes,punctatus,XEP,BAL/Xen.pun,,
Crapaud poilu,BATRACHOIDAE,Batrachoides,liberiensis,BBL,BAT/Bat.lib,,
Crapaud indéterminé,BATRACHOIDAE,spp,,TDF,BAT,,
Orphie plate,BELONIDAE,Ablennes,hians,BAF,BEL/Abl.hia,,
"Aiguille, Orphie indéterminé",BELONIDAE,spp,,BES,BEL,,
,BELONIDAE,Strongylura,senegalensis,SZW,BEL/Str.sen,,
Aiguille voyeuse,BELONIDAE,Tylosurus,acus,AND,BEL/Tyl.acu,,
Aiguille crocodile,BELONIDAE,Tylosurus,crocodilus,BTS,BEL/Tyl.cro,,
Bivalve indéterminé,BIVALVIA,spp,,CLX,BIVALVIA,,
Blennie indéterminée,BLENNIDAE,spp,,BLE,BLE,,
Arnoglosse du Cap,BOTHIDAE,Arnoglossus,capensis,RGK ,BOT/Amo.cap,,
Fosse imande pate,BOTHIDAE,Syacium,micrurum,YAM,BOT/Sya.mic,,
Rombou podas,BOTHIDAE,Bothus,podas,OUB,BOT/Bot.pod,,
Arnoglosse indéterminé,BOTHIDAE,spp,,LEF,BOT,,
Brame indéterminé,BRAMIDAE,spp,,BRA,BRM,,
Tile indéterminé,BRANCHIOSTEGIDAE,spp,,TIS,BRN,,
Migraine rugueuse,CALAPPIDAE,Calappa,gallus,KAG,CRAB/Cal.gal,,
Migraine épineuse,CALAPPIDAE,Calappa,pelii,KAP,CRAB/Cal.pel,,
Migraine maculée,CALAPPIDAE,Calappa,rubroguttata,KAR,CRAB/Cal.rub,,
,CALAPPIDAE,Calappa,spp,,CRAB/Cal,,
,CALAPPIDAE,spp,,,CRAB,,
Cordonnier bossu (Yamal),CARANGIDAE,Alectis,alexandrinus,ALA,CAR/Ale.ale,crevette,
Cordonnier fil,CARANGIDAE,Alectis,ciliaris,LIJ,CAR/Ale.cil,,
Liche lirio,CARANGIDAE,Campogramma,glaycos,VAD,CAR/Cam.gla,,
Carangue mayole,CARANGIDAE,Caranx,latus,NXL,CAR/Car.lat,,
Carangue coubali,CARANGIDAE,Caranx,crysos,RUB,CAR/Car.cry,,
