old name,new name
ALB/Alb.cep,ALB
ARI/Ari,ARI
BAL/Bal.can,
BAL/Bal.cap,BAL/Can.mac
BAL/Eph.gut,TET/Eph.gut
BAT/Pem.elm,
BOT/Bot.afr,
BOT/Cha.lug,
BOT/Cya.mic,BOT/Sya.mic
BOT/Mon.mic,
BOT/Monmic,
BRA,BRM
BRA/Bra.sem,BRM
BRA/Hal.did,
CAR/Boo.boo,Boo.boo
CAR/Can.cry,CAR/Car.cry
CAR/Can.hip,CAR/Car.hip
CAR/Car.dec,CAR/Dec
CAR/Dec.roc,
CAR/Den.can,SPA/Den.can
CAR/Den.gib,
CAR/Dri.ap,CAR
CAR/Ele.bip,CAR/Ela.bip
CAR/Pag.car,
CAR/Ser.cor,CAR/Ser.car
CAR/Sol.dor,CAR/Sel.dor
CARCar/hip,CAR/Car.hip
CIT,CIT/Cit.lin
CLU/Sar.mar,CLU/Sar.mad
Coquillage Naticidae,ESC
COR/Cor.equ,COR
CRAB,CRAB
CRAB/CAL,CRAB/Cal
CYN/Aul.cad,CYN/Cyn.cad
CYN/Cun.sen,CYN/Cyn.sen
DRE/Dre.afr,DRE/Dre.afr
ECH/Ech.rem,ECH
Enc-mol,GER/Euc.mel
EPH/Cha.gor,
EPI,
GER/Enc.mel,GER/Euc.mel
GRA,
HAE/Cyn.bro,CYN/Cyn.bro
HAE/Dic.cun,SOL/Dic.cun
HAE/Pom.ind,
HOL/Hol.asc,
IST/Mak.ind,IST/Mak.nig
LUT/Luj.gor,LUT/Lut.gor
MUL,MUL/Pse.pra
MUR/Lyc.afe,MUR/Gym
MURAENE,MUR
MURAENI,MUR
MURANI/Cha.vit,MUR/Cha.vit
OMM,
OPHIC,OPH
OPHID,OPH
PEN/Pen.Not,PEN/Pen.not
PLA/Gram.gru,PLA/Gra.gru
PSE,PSE/Pse.bel
PSE/Pse.typ,SCI/Pse.typ
RAC,RAC/Rac.can
RAI/Das.mar,RAI/Das.mam
RAI/Das.marg,RAI/Das.mag
RAI/Das.marm,RAI/Das.mam
RAI/Das.vio,RAI/Pte.vio
RAI/Gym.mic,RAI/Gym
RAI/Tor.tor,RAI/Tor
REM,ECH
REQ,SQL
REQ,CAC
REQ/Car,CAC/Car
REQ/Car.alt,CAC/Car.alt
REQ/Car.amb,CAC/Car.amb
REQ/Car.bre,CAC/Car.bre
REQ/Car.fal,CAC/Car.fal
REQ/Car.leu,CAC/Car.leu
REQ/Car.lim,CAC/Car.lim
REQ/Car.lon,CAC/Car.lon
REQ/Car.obs,CAC/Car.obs
REQ/Car.plu,CAC/Car.plu
REQ/Gal.cuv,CAC/Gal.cuv
REQ/Isu.oxy,LAM/Isu.oxy
REQ/Isu.pau,LAM/Isu.pau
REQ/Lep.smi,LEP/Lep.smi
REQ/Mus.mus,TRI/Mus.mus
REQ/Neg.bre,CAC/Neg.bre
REQ/Par.pec,HEM/Par.pec
REQ/Pri.gla,CAC/Pri.gla
REQ/Rhi.acu,CAC/Rhi.acu
REQ/Sph,SPN/Sph
REQ/Sph.lew,SPN/Sph.lew
REQ/Sph.mok,SPN/Sph.mok
REQ/Sph.zyg,SPN/Sph.zyg
REQ/Squ,SQT/Squ
REQ/Squ.acu,SQT/Squ.acu
REQ/Squ.bla,SQL/Squ.bla
REQ/Squ.meg,SQL/Squ.meg
REQ/Squ.ocu,SQT/Squ.ocu
SCI/Pse.gab,SCI/Pse
SCI/Pte.pol,SCI/Pte.pel
SCI/Umb.ron,SCI/Umb.rho
SCOM/Dec.mac,CAR/Dec.mac
SCOM/Eut,SCOM/Eut.all
SCOM/Sco.jap,SCOM/Scom.jap
SCOM/Sco.tri,SCOM/Scom.tri
SCY,SCY/Scy.her
SEP/Lol.vul,SEP
SEP/Sep.ele,SEP
SEP/Sep.elo,SEP
SEP/Sep.off,SEP
SEP/Sep.orb,SEP
SEP/Sep.org,SEP
SER/Ser.acr,SER/Ser.acc
Sofia,POI
SOL/Cyn.mon,CYN/Cyn.mon
SOL/Dic.mon,SOL
SOL/Din.cun,SOL/Dic.cun
SOL/Mic.fre,
