0,Razel fishermen,Libreville
1,Ami des pecheurs du gabon,Libreville
2,Ehuzu 1,Libreville
3,Ehuzu 2,Libreville
4,BTI 1,Libreville
5,Parc à Bois,Libreville
6,Petit Village,Libreville
7,Bac Aviation 1,Libreville
8,Bac Aviation 2,Libreville
9,Alenakiri,Libreville
10,Akiliba,Libreville
11,Grande Poubelle,Libreville
12,COGAPAC,Libreville
13,Ambowé 1,Libreville
14,Ambowé 2,Libreville
15,Soduco,Libreville
16,Arche des pêcheurs,Libreville
17,Michel Marine,Libreville
18,Jeanne Ebory,Libreville
19,Bambouchine,Libreville
20,Vision d'Avenir,Libreville
21,COPEGA,Libreville
22,Emergence,Libreville
23,Renaissance,Libreville
24,CPAR 2,Libreville
25,CAPAL,Libreville
26,COGAPAM,Libreville
27,CPACS (Sablière),Libreville
28,Belive in God,Cocobeach
29,Requin Blanc,Cocobeach
30,Bisso bi Name,Cocobeach
31,POG,POG
32,Mayumba,Mayumba
33,INDEPENDANT,
34,MONO,Port-Gentil
35,Eledji,Port-Gentil
36,Gbenodou,Port-Gentil
37,Avenir,Port-Gentil
38,Elevagnon,Port-Gentil
39,Matanda Paletuvier,Port-Gentil
40,Mouvement des pêcheurs d'Iguiri,Port-Gentil
41,ETHRO,Mayumba
42,MURI MWER,Mayumba
43,SCONAPAC,
44,CEPG,
45,Chemin de or,
46,Dieu merci,
47,Gabon de abord,
