Time,Boat,Trip,Lat,Lng,Speed (M/S),Range (Meters),Heading,Boat Name,Community
2018-04-04 16:07:33,2785,,-3.40521,10.66047,1.67,,0,Pelagic 397542,
2018-04-04 16:08:53,2784,,-3.40575,10.66057,0,,216.82,Pelagic 407077,
2018-04-04 16:09:07,2788,,-3.40558,10.66029,0.02,,63.39,Pelagic 392865 1,
2018-04-04 16:10:01,2785,,-3.40523,10.66043,0.03,,243.39,Pelagic 397542,
2018-04-04 16:12:19,2785,,-3.40525,10.66043,0.05,,270,Pelagic 397542,
2018-04-04 16:14:36,2785,,-3.40526,10.66044,0.11,,270,Pelagic 397542,
2018-04-04 16:14:52,2788,,-3.40559,10.66027,0.01,,315.05,Pelagic 392865 1,
2018-04-04 16:16:59,2785,,-3.40536,10.6603,0.25,,224.95,Pelagic 397542,
2018-04-04 16:19:18,2785,,-3.40531,10.66037,0.01,,135.05,Pelagic 397542,
2018-04-04 16:19:59,2784,,-3.40578,10.66025,0,,333.48,Pelagic 407077,
2018-04-04 16:20:36,2788,,-3.40559,10.6603,0.01,,90,Pelagic 392865 1,
2018-04-04 16:21:37,2785,,-3.40529,10.66034,0.16,,0,Pelagic 397542,
2018-04-04 16:23:59,2785,,-3.40534,10.66038,0.05,,270,Pelagic 397542,
2018-04-04 16:26:25,2788,,-3.4056,10.66026,0.01,,255.94,Pelagic 392865 1,
2018-04-04 16:29:30,2786,,-3.40596,10.66012,0,,258.67,Pelagic 431929 1,
2018-04-04 16:37:48,2788,,-3.40555,10.66026,0.01,,0,Pelagic 392865 1,
2018-04-04 16:43:33,2788,,-3.40556,10.66027,0,,135.05,Pelagic 392865 1,
2018-04-04 16:55:02,2788,,-3.40556,10.66029,0,,90,Pelagic 392865 1,
2018-04-04 17:00:48,2788,,-3.40555,10.66028,0,,315.05,Pelagic 392865 1,
2018-04-04 17:06:34,2788,,-3.40554,10.66024,0.01,,284.06,Pelagic 392865 1,
2018-04-04 17:12:17,2788,,-3.40561,10.66026,0.02,,164.08,Pelagic 392865 1,
2018-04-04 17:24:00,2788,,-3.40562,10.66025,0,,224.95,Pelagic 392865 1,
2018-04-04 17:29:48,2788,,-3.4056,10.66032,0.01,,44.95,Pelagic 392865 1,
2018-04-04 17:34:26,2787,,-3.3797,10.6666,0,,172.42,Pelagic 402813 1,
2018-04-04 17:35:27,2788,,-3.40557,10.66026,0.02,,296.61,Pelagic 392865 1,
2018-04-04 17:46:56,2788,,-3.40556,10.66028,0,,63.39,Pelagic 392865 1,
2018-04-04 17:58:24,2788,,-3.40564,10.66024,0.01,,186.33,Pelagic 392865 1,
2018-04-04 18:04:08,2788,,-3.40547,10.6602,0.03,,330.3,Pelagic 392865 1,
2018-04-04 18:17:19,2785,,-3.40512,10.66039,0,,5.7,Pelagic 397542,
2018-04-04 18:23:04,2785,,-3.40521,10.66041,0.03,,7.11,Pelagic 397542,
2018-04-04 18:27:40,2787,,-3.37974,10.66659,0,,224.95,Pelagic 402813 1,
2018-04-04 18:28:52,2785,,-3.4052,10.66046,0.02,,18.4,Pelagic 397542,
2018-04-04 18:34:35,2785,,-3.40534,10.66043,0.03,,270,Pelagic 397542,
2018-04-04 18:40:20,2785,,-3.40525,10.66047,0.03,,23.92,Pelagic 397542,
2018-04-04 19:02:34,2785,,-3.40521,10.66047,0,,270,Pelagic 397542,
2018-04-04 19:28:44,2788,,-3.40549,10.66017,0,,303.74,Pelagic 392865 1,
2018-04-04 19:30:04,2784,,-3.40579,10.66016,0,,263.65,Pelagic 407077,
2018-04-04 19:34:23,2788,,-3.40553,10.66009,0.03,,243.39,Pelagic 392865 1,
2018-04-04 19:35:45,2784,,-3.40576,10.66023,0.02,,66.76,Pelagic 407077,
2018-04-04 19:37:05,2788,,-3.40566,10.66019,0.06,,104.06,Pelagic 392865 1,
2018-04-04 19:39:38,2785,,-3.40519,10.66051,0,,38.61,Pelagic 397542,
2018-04-04 19:40:36,2788,,-3.40566,10.6603,0.09,,90,Pelagic 392865 1,
2018-04-04 19:48:47,2788,,-3.40561,10.66023,0.01,,321.39,Pelagic 392865 1,
2018-04-04 20:16:36,2788,,-3.40566,10.66031,0,,111.84,Pelagic 392865 1,
2018-04-04 20:18:22,2784,,-3.4058,10.66017,0,,236.26,Pelagic 407077,
2018-04-04 20:22:23,2788,,-3.4056,10.6603,0.02,,18.4,Pelagic 392865 1,
2018-04-04 20:24:05,2784,,-3.40571,10.66027,0.04,,37.83,Pelagic 407077,
2018-04-04 20:28:09,2788,,-3.40557,10.66024,0.02,,8.12,Pelagic 392865 1,
2018-04-04 20:29:51,2784,,-3.40576,10.66019,0.01,,198.4,Pelagic 407077,
2018-04-04 20:33:50,2788,,-3.40555,10.66026,0.01,,44.95,Pelagic 392865 1,
2018-04-04 20:39:36,2788,,-3.40564,10.66023,0.01,,270,Pelagic 392865 1,
2018-04-04 20:51:03,2788,,-3.40564,10.66023,0,,270,Pelagic 392865 1,
2018-04-04 20:53:37,2785,,-3.40514,10.66019,0,,230.14,Pelagic 397542,
2018-04-04 20:56:46,2788,,-3.40561,10.66027,0.02,,53.08,Pelagic 392865 1,
2018-04-04 20:59:40,2785,,-3.40516,10.66031,0.02,,315.05,Pelagic 397542,
2018-04-04 21:02:32,2788,,-3.40566,10.66031,0.01,,116.61,Pelagic 392865 1,
